number,sex,bigtopic,topic
0,1,2,13
1,1,2,13
2,0,2,13
3,1,2,13
4,1,2,13
5,0,2,13
6,1,2,13
7,0,2,13
8,1,2,13
9,1,2,13
10,0,2,13
11,0,2,13
12,0,2,13
13,1,2,13
14,0,2,14
15,1,2,14
16,1,2,14
17,1,2,14
18,0,2,14
19,1,2,14
20,1,2,14
21,0,2,14
22,1,2,14
23,1,2,14
24,1,2,14
25,0,2,14
26,0,2,14
27,1,2,14
28,1,2,15
29,0,2,15
30,0,2,15
31,1,2,15
32,0,2,15
33,0,2,15
34,1,2,15
35,0,2,16
36,1,2,16
37,1,2,16
38,1,2,16
39,0,2,16
40,1,2,16
41,1,2,16
42,0,2,16
43,1,2,16
44,0,1,7
45,0,1,7
46,0,1,7
47,1,1,7
48,0,1,7
49,0,1,7
50,1,1,7
51,0,1,7
52,0,1,7
53,0,1,7
54,0,1,7
55,0,1,7
56,0,1,7
57,0,1,7
58,1,1,7
59,0,1,7
60,1,1,7
61,0,1,7
62,1,1,7
63,0,1,7
64,0,1,7
65,0,1,7
66,1,1,7
67,0,1,7
68,1,0,0
69,1,0,0
70,1,0,0
71,1,0,0
72,1,0,0
73,1,0,0
74,1,0,0
75,1,0,0
76,1,0,0
77,1,0,1
78,1,0,1
79,1,0,1
80,1,0,1
81,1,0,1
82,1,0,1
83,1,0,1
84,1,0,1
85,1,0,1
86,1,0,1
87,1,0,2
88,1,0,2
89,1,0,2
90,1,0,2
91,1,0,2
92,1,0,2
93,1,0,2
94,1,0,2
95,1,0,2
96,1,0,2
97,1,0,2
98,1,0,2
99,1,0,2
100,1,0,3
101,1,0,3
102,1,0,3
103,1,0,3
104,1,0,3
105,1,0,3
106,1,0,3
107,1,0,3
108,1,0,3
109,1,0,4
110,1,0,4
111,1,0,4
112,1,0,4
113,1,0,5
114,1,0,5
115,1,0,5
116,1,0,5
117,1,0,5
118,1,0,5
119,1,0,5
120,1,0,5
121,1,0,5
122,0,0,6
123,0,0,6
124,0,0,6
125,0,0,6
126,0,0,6
127,0,0,6
128,0,0,6
129,0,0,6
130,0,0,6
131,0,0,6
132,0,0,6
133,0,0,6
134,0,0,6
135,0,0,6
136,0,0,6
137,0,0,6
138,0,0,6
139,0,0,6
140,0,0,6
141,0,0,6
142,0,2,13
143,0,2,13
144,1,2,13
145,1,2,13
146,0,2,13
147,0,2,14
148,1,2,14
149,1,2,14
150,1,2,14
151,1,2,14
152,0,2,15
153,0,2,15
154,1,2,15
155,0,2,16
156,1,2,16
157,0,2,16
158,1,2,16
159,1,2,16
160,0,2,17
161,0,2,17
162,1,2,17
163,1,1,7
164,0,1,7
165,1,1,7
166,1,1,7
167,0,1,7
168,0,1,7
169,0,1,7
170,1,1,7
171,0,1,7
172,0,1,7
173,1,1,7
174,0,1,7
175,0,1,7
176,1,1,7
177,0,1,7
178,0,1,7
179,0,1,7
180,0,1,7
181,0,1,7
182,1,1,7
183,0,1,7
184,1,1,7
185,1,1,7
186,1,1,7
187,0,1,7
188,0,1,7
189,0,1,8
190,0,1,8
191,1,1,8
192,1,1,8
193,1,1,8
194,1,1,8
195,0,1,8
196,1,1,8
197,0,1,8
198,0,1,8
199,0,1,8
200,1,1,8
201,0,1,8
202,0,1,8
203,0,1,8
204,0,1,8
205,0,1,8
206,0,1,8
207,0,1,8
208,0,1,8
209,0,1,8
210,0,1,8
211,0,1,8
212,0,1,9
213,0,1,9
214,0,1,9
215,0,1,9
216,0,1,9
217,1,1,9
218,0,1,9
219,0,1,9
220,1,1,9
221,0,1,9
222,1,1,9
223,0,1,9
224,0,1,9
225,0,1,9
226,0,1,9
227,1,1,9
228,1,1,9
229,1,1,9
230,0,1,10
231,1,1,10
232,1,1,10
233,0,1,10
234,0,1,10
235,0,1,10
236,1,1,10
237,1,1,11
238,1,1,11
239,0,1,11
240,0,1,11
241,1,1,11
242,0,1,11
243,1,1,11
244,1,1,11
245,1,1,11
246,1,1,11
247,1,1,11
248,0,1,11
249,1,1,11
250,1,1,11
251,1,1,11
252,1,1,11
253,0,1,11
254,1,1,11
255,1,1,11
256,0,1,11
257,1,1,11
258,1,1,11
259,1,1,11
260,1,1,11
261,0,1,12
262,1,1,12
263,1,1,12
264,0,1,12
265,0,1,12
266,1,1,12
267,1,1,12
268,1,1,12
269,0,1,12
270,0,1,12
271,1,1,12
272,0,1,12
273,0,1,12
